position,source_name,occurrence,canonical_name,entity,field_class,unit,proposed_silver_routing,predictive_signal_value,schema_diff
42,RMS Disabled Alarm,1,rms_disabled_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
43,LEDCard2 Comm Fail,1,ledcard2_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
44,Modem Signal Intensity,1,modem_signal_intensity,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,MEDIUM,NEW_IN_REAL
45,RSRP,1,rsrp,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,HIGH,NEW_IN_REAL
46,RSRQ,1,rsrq,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,HIGH,NEW_IN_REAL
47,Pilot-Upper TCP Interface,1,pilot_upper_tcp_interface,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
48,RMS Enable ModifiedBy,1,rms_enable_modifiedby,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
49,Fan Run Status,1,fan_run_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
50,FAN Set Speed,1,fan_set_speed,CHARGER,CONTINUOUS_TELEMETRY,RPM,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
51,System Fan Speed,1,system_fan_speed,CHARGER,CONTINUOUS_TELEMETRY,RPM,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
52,Cabinet Temperature,1,cabinet_temperature,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,EXACT_EXISTING
53,Cooling Temp Sensor 1,1,cooling_temp_sensor_1,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
54,Cooling Temp Sensor 2,1,cooling_temp_sensor_2,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
55,Fan Card Status,1,fan_card_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
56,Rect Max Temperature,1,rect_max_temperature,RECTIFIER,CONTINUOUS_TELEMETRY,degC,RECTIFIER_TELEMETRY,HIGH,NEW_IN_REAL
57,Fan 1 Status,1,fan_1_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
58,Fan 2 Status,1,fan_2_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
59,Fan 3 Status,1,fan_3_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
60,Fan 4 Status,1,fan_4_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
61,Fan 5 Status,1,fan_5_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
62,Fan 6 Status,1,fan_6_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
63,Fan 7 Status,1,fan_7_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
64,Fan 8 Status,1,fan_8_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
65,Fan 9 Status,1,fan_9_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
66,Fan 10 Status,1,fan_10_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
67,Fan 11 Status,1,fan_11_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
68,Fan 12 Status,1,fan_12_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
69,Fan 13 Status,1,fan_13_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
70,Fan 14 Status,1,fan_14_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
71,Fan 15 Status,1,fan_15_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
72,Fan 16 Status,1,fan_16_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
73,Fan 17 Status,1,fan_17_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
74,Fan 18 Status,1,fan_18_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
75,Fan 19 Status,1,fan_19_status,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
76,Fan 20 Status,1,fan_20_status,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
77,Fan 21 Status,1,fan_21_status,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
78,Fan 22 Status,1,fan_22_status,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
79,Fan 23 Status,1,fan_23_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
80,DC Section FAN Status,1,dc_section_fan_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
81,Grid Fail,1,grid_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
82,Class-C SPD Fail,1,class_c_spd_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
83,NE Voltage High Alarm,1,ne_voltage_high_alarm,ALARM,ALARM_FLAG,V,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
84,Line 1 Fail,1,line_1_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
85,Line 2 Fail,1,line_2_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
86,Line 3 Fail,1,line_3_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
87,Line 1 Over Voltage,1,line_1_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
88,Line 2 Over Voltage,1,line_2_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
89,Line 3 Over Voltage,1,line_3_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
90,Line 1 Under Voltage,1,line_1_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
91,Line 2 Under Voltage,1,line_2_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
92,Line 3 Under Voltage,1,line_3_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
93,Door Open,1,door_open,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
94,Smoke Alarm,1,smoke_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
95,Emergency Stop Active,1,emergency_stop_active,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
96,System Over Temperature,1,system_over_temperature,CHARGER,STATE,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
97,Input Contactor Fail,1,input_contactor_fail,CONTACTOR,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
98,System Tilted,1,system_tilted,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
99,Temperature Sensor Disconnected,1,temperature_sensor_disconnected,CHARGER,STATE,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
100,System FAN Fail,1,system_fan_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
101,Filter Maintenance Warning,1,filter_maintenance_warning,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
102,Mains High,1,mains_high,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
103,Mains Low,1,mains_low,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
104,Grid Abnormal,1,grid_abnormal,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
105,SD Card Not Present,1,sd_card_not_present,CHARGER,STATE,,CHARGER_TELEMETRY,LOW,NEW_IN_REAL
106,SD Card Fail,1,sd_card_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
107,SD Card Crc Fail,1,sd_card_crc_fail,CHARGER,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
108,Input RCBO Tripped,1,input_rcbo_tripped,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
109,Temperature Sensor-1 Fail,1,temperature_sensor_1_fail,CHARGER,STATE,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
110,Temperature Sensor-2 Fail,1,temperature_sensor_2_fail,CHARGER,STATE,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
111,MCCB Tripped,1,mccb_tripped,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
112,Class-D SPD Fail Alarm,1,class_d_spd_fail_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
113,Ground Fault Alarm,1,ground_fault_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
114,HVLV Cut-Off Alarm,1,hvlv_cut_off_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
115,Auxillary MCB Trip Alarm,1,auxillary_mcb_trip_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
116,All Rectifier Fail,1,all_rectifier_fail,RECTIFIER,ALARM_FLAG,,RECTIFIER_TELEMETRY,HIGH,NEW_IN_REAL
117,All Rectifier Communication Fail,1,all_rectifier_communication_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
118,DCEM SN Duplicate,1,dcem_sn_duplicate,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
119,BackupBatteryLow,1,backupbatterylow,BATTERY,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
120,Earth Leakage Sensed Alarm,1,earth_leakage_sensed_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
121,GMD Comm Fail alarm,1,gmd_comm_fail_alarm,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
122,Ring Communication Break,1,ring_communication_break,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
123,SIM not inserted Alarm,1,sim_not_inserted_alarm,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
124,Any Rect Fail,1,any_rect_fail,RECTIFIER,ALARM_FLAG,,RECTIFIER_TELEMETRY,HIGH,NEW_IN_REAL
125,Grid Over Voltage,1,grid_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
126,Grid Under Voltage,1,grid_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
127,Any Rect Comm Fail,1,any_rect_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
128,Connector No,1,connector_no,CONNECTOR,IDENTIFIER,,CONNECTOR_TELEMETRY,CONTEXT,EXACT_EXISTING
129,Connector Type,1,connector_type,CONFIGURATION,CONFIGURATION,,CONFIGURATION,CONTEXT,NEW_IN_REAL
130,Connector Status,1,connector_status,CONNECTOR,STATE,,CONNECTOR_TELEMETRY,MEDIUM,EXACT_EXISTING
131,OCPP State,1,ocpp_state,COMMUNICATION,STATE,,COMMUNICATION_OBSERVATION,MEDIUM,NEW_IN_REAL
132,Pilot Controller State,1,pilot_controller_state,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
133,Plug Status,1,plug_status,CONNECTOR,STATE,,CONNECTOR_TELEMETRY,MEDIUM,NEW_IN_REAL
134,CCS Main State,1,ccs_main_state,CONNECTOR,STATE,,CONNECTOR_TELEMETRY,MEDIUM,NEW_IN_REAL
135,CCS Sub State,1,ccs_sub_state,CONNECTOR,STATE,,CONNECTOR_TELEMETRY,MEDIUM,NEW_IN_REAL
136,CCU Main State,1,ccu_main_state,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
137,CP Voltage,1,cp_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
138,Gun Temp Dc+,1,gun_temp_dc,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
139,Gun Temp Dc-,1,gun_temp_dc,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
140,Gun Insertion Cycle Count,1,gun_insertion_cycle_count,COUNTER,COUNTER,,LIFECYCLE_COUNTERS,MEDIUM,NEW_IN_REAL
141,Gun Voltage,1,gun_voltage,CONNECTOR,CONTINUOUS_TELEMETRY,V,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
142,Charge Selected Mode,1,charge_selected_mode,CONFIGURATION,CONFIGURATION,,CONFIGURATION,CONTEXT,NEW_IN_REAL
143,Last Charge Session Stop Reason,1,last_charge_session_stop_reason,SESSION,STATE,,SESSION_OBSERVATION,LEAKAGE_RISK,EXACT_EXISTING
144,No Of Active Rectifiers,1,no_of_active_rectifiers,RECTIFIER,CONTINUOUS_TELEMETRY,,RECTIFIER_TELEMETRY,MEDIUM,NEW_IN_REAL
145,Set Voltage,1,set_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
146,Set Current,1,set_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
147,Output Voltage,1,output_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
148,Output Current,1,output_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
149,Available Max Current,1,available_max_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
150,Available Max Power,1,available_max_power,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
151,Group Rect Fail,1,group_rect_fail,RECTIFIER,ALARM_FLAG,,RECTIFIER_TELEMETRY,HIGH,NEW_IN_REAL
152,Group Rect Comm Fail,1,group_rect_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
153,DC Over Voltage,1,dc_over_voltage,CHARGER,STATE,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
154,Short Circuit,1,short_circuit,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
155,Insulation Comm Fail,1,insulation_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
156,Last Insulation Test Fail,1,last_insulation_test_fail,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
157,Gun Over Temp Warning,1,gun_over_temp_warning,CONNECTOR,ALARM_FLAG,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
158,GunOverTempCutoff,1,gunovertempcutoff,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
159,GUNOverTempDC+ Warning,1,gunovertempdc_warning,CONNECTOR,ALARM_FLAG,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
160,GUNOverTempDC- Warning,1,gunovertempdc_warning,CONNECTOR,ALARM_FLAG,degC,CONNECTOR_TELEMETRY,MEDIUM,NEW_IN_REAL
