position,alarm_name,occurrence,entity,total_rows,null_count,null_percentage,unique_count,non_normal_count,activation_rate_pct,observed_states
170,Gun Rect Comm Fail,1,COMMUNICATION,10000,1,0.01,1,0,0.0,Not alarm (9999)
171,Gun Dc+ Ultra Temp,1,CONNECTOR,10000,1,0.01,2,10,0.1,Not alarm (9989); Alarm (10)
172,Gun Dc- Ultra Temp,1,CONNECTOR,10000,1,0.01,1,0,0.0,Not alarm (9999)
173,Gun Dc Contactor Fail,1,CONTACTOR,10000,1,0.01,1,0,0.0,Not alarm (9999)
179,Gun Not Placed Back Alarm,1,CONNECTOR,10000,2,0.02,2,6,0.06,Not alarm (9992); Alarm (6)
189,AC Fail Alarm,1,ALARM,10000,10000,100.0,0,0,0.0,
191,AC EnergyMeterCommFail,1,COMMUNICATION,10000,10000,100.0,0,0,0.0,
198,DC + Insulation Resistance,1,ALARM,10000,67,0.67,1080,4053,40.53,0 (5880); 650 (513); 648 (124); 500 (37); 247809 (16)
199,DC - Insulation Resistance,1,ALARM,10000,67,0.67,1103,4061,40.61,0 (5872); 650 (601); 500 (37); 648 (34); 253879 (12)
200,Last Insulation Test Status,1,ALARM,10000,67,0.67,2,9933,99.33,Pass (9844); Fail (89)
217,Calculated Insulation Resistance,1,ALARM,10000,5901,59.01,80,2735,27.35,0 (1364); 46500 (409); 70100 (204); 70000 (184); 69400 (168)
227,Gun Over Temperature Counter,1,CONNECTOR,10000,4947,49.47,92,1407,14.07,0 (3646); 1 (255); 2 (155); 3 (76); 5 (52)
244,Inner Comm Interrupt,1,COMMUNICATION,10000,4184,41.84,2,45,0.45,Not alarm (5771); Alarm (45)
248,MDL Fault,1,SMR,10000,4184,41.84,2,12,0.12,Not alarm (5804); Alarm (12)
250,Fan Fault,1,ALARM,10000,4184,41.84,2,3,0.03,Not alarm (5813); Alarm (3)
254,CAN Communication Interrupt,1,COMMUNICATION,10000,4184,41.84,1,0,0.0,Not alarm (5816)
264,PFC DCDC Comm Fail,1,COMMUNICATION,10000,4189,41.89,1,0,0.0,Not alarm (5811)
272,DCDC Eeprom Faults,1,ALARM,10000,4189,41.89,1,0,0.0,Not alarm (5811)
273,PFC Eeprom Faults,1,SMR,10000,4189,41.89,1,0,0.0,Not alarm (5811)
274,Fan 1 Fail,1,CHARGER,10000,0,0.0,3,33,0.33,Not alarm (9967); NA (19); Alarm (14)
275,Fan 2 Fail,1,CHARGER,10000,0,0.0,3,21,0.21,Not alarm (9979); NA (19); Alarm (2)
276,Fan 3 Fail,1,CHARGER,10000,0,0.0,3,31,0.31,Not alarm (9969); NA (19); Alarm (12)
277,Fan 4 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
278,Fan 5 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
279,Fan 6 Fail,1,CHARGER,10000,0,0.0,3,27,0.27,Not alarm (9973); NA (19); Alarm (8)
280,Fan 7 Fail,1,CHARGER,10000,0,0.0,3,21,0.21,Not alarm (9979); NA (19); Alarm (2)
281,Fan 8 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
282,Fan 9 Fail,1,CHARGER,10000,0,0.0,3,27,0.27,Not alarm (9973); NA (19); Alarm (8)
283,Fan 10 Fail,1,CHARGER,10000,0,0.0,3,35,0.35,Not alarm (9965); NA (19); Alarm (16)
284,Fan 11 Fail,1,CHARGER,10000,0,0.0,3,27,0.27,Not alarm (9973); NA (19); Alarm (8)
285,Fan 12 Fail,1,CHARGER,10000,0,0.0,3,31,0.31,Not alarm (9969); NA (19); Alarm (12)
286,Fan 13 Fail,1,CHARGER,10000,0,0.0,3,37,0.37,Not alarm (9963); NA (19); Alarm (18)
287,Fan 14 Fail,1,CHARGER,10000,0,0.0,3,37,0.37,Not alarm (9963); NA (19); Alarm (18)
288,Fan 15 Fail,1,CHARGER,10000,0,0.0,3,37,0.37,Not alarm (9963); NA (19); Alarm (18)
289,Fan 16 Fail,1,CHARGER,10000,0,0.0,3,43,0.43,Not alarm (9957); Alarm (24); NA (19)
290,Fan 17 Fail,1,CHARGER,10000,0,0.0,3,43,0.43,Not alarm (9957); Alarm (24); NA (19)
291,Fan 18 Fail,1,CHARGER,10000,0,0.0,3,67,0.67,Not alarm (9933); Alarm (48); NA (19)
292,Fan 19 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
293,Fan 20 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
294,Fan 21 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
