position,source_name,source_occurrence,canonical_name,entity,field_class,data_type,unit,null_count,null_percentage,unique_count,variability_class,min,max,mean,median,std,P01,P05,P25,P50,P75,P95,P99,zero_count,negative_count,sentinel_hits,top_values
117,All Rectifier Communication Fail,1,all_rectifier_communication_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9842); NA (158)
118,DCEM SN Duplicate,1,dcem_sn_duplicate,CHARGER,STATE,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9842); NA (158)
119,BackupBatteryLow,1,backupbatterylow,BATTERY,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9738); NA (158); Alarm (104)
120,Earth Leakage Sensed Alarm,1,earth_leakage_sensed_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9830); NA (158); Alarm (12)
121,GMD Comm Fail alarm,1,gmd_comm_fail_alarm,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9758); NA (158); Alarm (84)
122,Ring Communication Break,1,ring_communication_break,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9814); NA (158); Alarm (28)
123,SIM not inserted Alarm,1,sim_not_inserted_alarm,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9114); Alarm (728); NA (158)
124,Any Rect Fail,1,any_rect_fail,RECTIFIER,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9775); NA (158); Alarm (67)
125,Grid Over Voltage,1,grid_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9826); NA (158); Alarm (16)
126,Grid Under Voltage,1,grid_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9842); NA (158)
127,Any Rect Comm Fail,1,any_rect_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,923,9.23,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 144}",Not alarm (8933); NA (144)
128,Connector No,1,connector_no,CONNECTOR,IDENTIFIER,NUMERIC,,1,0.01,3,LOW_VARIABILITY,1.0,3.0,1.501,1.0,0.513,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0,0,,1 (5052); 2 (4881); 3 (66)
129,Connector Type,1,connector_type,CONFIGURATION,CONFIGURATION,STRING,,1,0.01,4,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,DC CCS (9854); DC Chademo (74); AC Type 2 (66); DC GBT (5)
130,Connector Status,1,connector_status,CONNECTOR,STATE,STRING,,1,0.01,8,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Idle (6799); Charging (1794); Faulted (940); Charge finished (296); Waiting start (78)
131,OCPP State,1,ocpp_state,COMMUNICATION,STATE,STRING,,3,0.03,6,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Available (6722); Charging (1794); Faulted (940); Finishing (309); Preparing (155)
132,Pilot Controller State,1,pilot_controller_state,CHARGER,STATE,STRING,,907,9.07,6,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 1544}",Finished (5746); Charging (1655); NA (1544); Handshake (79); Stopping (63)
133,Plug Status,1,plug_status,CONNECTOR,STATE,STRING,,67,0.67,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Plugged out (7653); Plugged in (2280)
134,CCS Main State,1,ccs_main_state,CONNECTOR,STATE,STRING,,5517,55.17,10,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,CHECK_FOR_VEHICLE_CONNECTION (3797); CHARGING_PROCESS (509); SESSION_STOP (96); END_OF_CHARGING (21); PRE_CHARGE (18)
135,CCS Sub State,1,ccs_sub_state,CONNECTOR,STATE,STRING,,6421,64.21,14,VARIABLE,,,,,,,,,,,,,0,0,,CCS_CHECK_GUNPLUGIN (2587); CCS_CHECK_START_CHRAGING_FLAG (404); CCS_CHECK_STATUS_CODE_CURRENT_DEMAND_RES (370); CCS_WAIT_FOR_RECV_CAN (84); CCS_NONE_SUBSTATE (76)
136,CCU Main State,1,ccu_main_state,CHARGER,STATE,STRING,,6433,64.33,9,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,MASTER_STATE_AVAILABLE (2318); MASTER_STATE_RESERVED (687); MASTER_STATE_PREPARING (406); MASTER_STATE_SUSPENDED_EV (92); MASTER_STATE_AUTHENTICATION (48)
137,CP Voltage,1,cp_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,71,VARIABLE,0.0,13.0,10.852,12.2,2.891,0.0,5.9,9.4,12.2,12.6,12.6,12.9,154,0,,12.6 (3287); 12.2 (2412); 6.1 (660); 12.5 (411); 6 (388)
138,Gun Temp Dc+,1,gun_temp_dc,CONNECTOR,CONTINUOUS_TELEMETRY,NUMERIC,degC,67,0.67,71,VARIABLE,-4.0,999.0,56.767,32.0,147.106,15.0,24.0,28.0,32.0,39.0,54.0,999.0,76,4,"{""999"": 235, ""-1"": 2}",29 (770); 28 (717); 31 (683); 27 (616); 30 (603)
139,Gun Temp Dc-,1,gun_temp_dc,CONNECTOR,CONTINUOUS_TELEMETRY,NUMERIC,degC,67,0.67,74,VARIABLE,-70.0,999.0,53.468,31.0,138.433,10.0,23.0,28.0,31.0,38.0,53.0,999.0,85,12,"{""999"": 207}",30 (726); 28 (696); 29 (653); 27 (625); 26 (518)
140,Gun Insertion Cycle Count,1,gun_insertion_cycle_count,COUNTER,COUNTER,NUMERIC,,1241,12.41,2119,HIGH_VARIABILITY,0.0,50000.0,3484.343,1222.0,6549.743,0.0,5.0,228.0,1222.0,3653.0,17567.0,32908.0,137,0,,0 (137); 2 (84); 3 (75); 4 (71); 5 (64)
141,Gun Voltage,1,gun_voltage,CONNECTOR,CONTINUOUS_TELEMETRY,NUMERIC,V,67,0.67,1196,HIGH_VARIABILITY,-559.72,848.2,150.201,0.48,254.072,-1.64,-0.45,0.0,0.48,354.0,671.56,703.3,2982,1081,"{""-1"": 4}",0 (2982); 0.5 (89); 375 (81); 0.1 (71); 0.3 (71)
142,Charge Selected Mode,1,charge_selected_mode,CONFIGURATION,CONFIGURATION,STRING,,337,3.37,5,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""None"": 770}",Auto (8879); None (770); SOC based (12); Time based (1); Energy based (1)
143,Last Charge Session Stop Reason,1,last_charge_session_stop_reason,SESSION,STATE,STRING,,1,0.01,81,VARIABLE,,,,,,,,,,,,,0,0,,Server Stop (402) (2373); EV Requested Stop (2) (1702); Other Error (501) (1269); Local Stop (401) (824); - (0) (633)
144,No Of Active Rectifiers,1,no_of_active_rectifiers,RECTIFIER,CONTINUOUS_TELEMETRY,NUMERIC,,3726,37.26,7,LOW_VARIABILITY,0.0,6.0,2.11,2.0,1.291,0.0,1.0,1.0,2.0,3.0,4.0,6.0,78,0,,1 (3024); 3 (1793); 4 (675); 2 (506); 6 (132)
145,Set Voltage,1,set_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,67,0.67,116,VARIABLE,0.0,744.5,112.738,0.0,244.704,0.0,0.0,0.0,0.0,0.0,710.0,744.0,8095,0,,0 (8095); 710 (437); 682 (222); 701 (136); 694.8 (113)
146,Set Current,1,set_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,67,0.67,262,VARIABLE,0.0,333.7,23.046,0.0,57.272,0.0,0.0,0.0,0.0,0.0,168.0,240.0,8145,0,,0 (8145); 200 (149); 93 (146); 140 (132); 160 (100)
147,Output Voltage,1,output_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,67,0.67,514,VARIABLE,-0.46,727.5,101.897,0.0,225.436,0.0,0.0,0.0,0.0,0.0,663.47,694.59,8097,5,,0 (8097); 644.82 (28); 701.23 (18); 684.23 (18); 649.08 (18)
148,Output Current,1,output_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,67,0.67,369,VARIABLE,0.0,333.6,20.949,0.0,51.581,0.0,0.0,0.0,0.0,0.0,140.01,238.97,8162,0,,0 (8162); 140 (122); 140.01 (78); 93 (69); 139.99 (44)
149,Available Max Current,1,available_max_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,337,3.37,57,VARIABLE,0.0,500.0,211.976,200.0,111.487,0.0,0.0,140.0,200.0,250.0,400.0,500.0,705,0,,200 (2601); 250 (1915); 140 (954); 0 (705); 400 (480)
150,Available Max Power,1,available_max_power,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,337,3.37,70,VARIABLE,0.0,360000.0,105664.454,99640.0,76404.795,0.0,0.0,30000.0,99640.0,150400.0,240000.0,240000.0,709,0,,30000 (2236); 120000 (2203); 240000 (1243); 180000 (778); 0 (709)
151,Group Rect Fail,1,group_rect_fail,RECTIFIER,ALARM_FLAG,STRING,,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9997); Alarm (2)
152,Group Rect Comm Fail,1,group_rect_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9976); Alarm (23)
153,DC Over Voltage,1,dc_over_voltage,CHARGER,STATE,STRING,V,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
154,Short Circuit,1,short_circuit,ALARM,ALARM_FLAG,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
155,Insulation Comm Fail,1,insulation_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9993); Alarm (6)
156,Last Insulation Test Fail,1,last_insulation_test_fail,ALARM,ALARM_FLAG,STRING,,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9955); Alarm (44)
157,Gun Over Temp Warning,1,gun_over_temp_warning,CONNECTOR,ALARM_FLAG,STRING,degC,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9993); Alarm (6)
158,GunOverTempCutoff,1,gunovertempcutoff,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
159,GUNOverTempDC+ Warning,1,gunovertempdc_warning,CONNECTOR,ALARM_FLAG,STRING,degC,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9989); Alarm (10)
160,GUNOverTempDC- Warning,1,gunovertempdc_warning,CONNECTOR,ALARM_FLAG,STRING,degC,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
161,Gun Ov Temp Derating Set,1,gun_ov_temp_derating_set,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9993); Alarm (6)
162,PLC Comm Fail,1,plc_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,1,0.01,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Not alarm (9894); Alarm (105)
163,E Lock Failed,1,e_lock_failed,CHARGER,STATE,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
164,Energy Meter Comm Fail,1,energy_meter_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,kWh,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9950); Alarm (49)
165,Gun locked by CMS,1,gun_locked_by_cms,COMMUNICATION,STATE,STRING,,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9939); Alarm (60)
166,Fuse Fail Alarm,1,fuse_fail_alarm,ALARM,ALARM_FLAG,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
167,Auxillary Power Fail,1,auxillary_power_fail,CHARGER,STATE,STRING,kW,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
168,Gun Temperature Derating Status,1,gun_temperature_derating_status,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
169,Gun Rect Fail,1,gun_rect_fail,RECTIFIER,ALARM_FLAG,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
170,Gun Rect Comm Fail,1,gun_rect_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
171,Gun Dc+ Ultra Temp,1,gun_dc_ultra_temp,CONNECTOR,ALARM_FLAG,STRING,degC,1,0.01,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9989); Alarm (10)
172,Gun Dc- Ultra Temp,1,gun_dc_ultra_temp,CONNECTOR,ALARM_FLAG,STRING,degC,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
173,Gun Dc Contactor Fail,1,gun_dc_contactor_fail,CONTACTOR,ALARM_FLAG,STRING,,1,0.01,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999)
174,Gun DC+ Temp Sensor Disconnect,1,gun_dc_temp_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,2,0.02,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Not alarm (9807); Alarm (191)
175,Gun DC- Temp Sensor Disconnect,1,gun_dc_temp_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,2,0.02,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9946); Alarm (52)
176,GUN Temperature Sensor Disconnect,1,gun_temperature_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,2,0.02,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Not alarm (9817); Alarm (181)
177,GUN DC+ Temp Sensor Loose,1,gun_dc_temp_sensor_loose,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,2,0.02,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9995); Alarm (3)
178,GUN DC- Temp Sensor Loose,1,gun_dc_temp_sensor_loose,CONNECTOR,CONTINUOUS_TELEMETRY,STRING,degC,2,0.02,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9998)
179,Gun Not Placed Back Alarm,1,gun_not_placed_back_alarm,CONNECTOR,ALARM_FLAG,STRING,,2,0.02,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9992); Alarm (6)
180,Voltage Calibration Error,1,voltage_calibration_error,CHARGER,STATE,STRING,V,3,0.03,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9996); Alarm (1)
181,Power Section Failed,1,power_section_failed,CHARGER,STATE,STRING,kW,4,0.04,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9996)
182,Ems Output Voltage,1,ems_output_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,584,VARIABLE,0.0,749.8,138.579,0.0,254.181,0.0,0.0,0.0,0.0,0.0,671.7,705.7,7376,0,,0 (7376); 641.5 (42); 644.1 (36); 635 (32); 635.6 (32)
183,Ems Output Current,1,ems_output_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,271,2.71,526,VARIABLE,-0.98,300.49,21.094,0.0,48.123,0.0,0.0,0.0,0.0,0.0,140.45,182.64,7781,13,,0 (7781); 22.97 (36); 69.51 (32); 70 (32); 139.8 (22)
184,Ems Output Power,1,ems_output_power,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,1,0.01,543,VARIABLE,-250.0,150633.0,12279.608,0.0,29387.433,0.0,0.0,0.0,0.0,0.0,90478.0,117073.0,8106,11,,0 (8106); 66622 (28); 78820 (18); 90593 (18); 56045 (18)
185,Ems Cumulative Energy,1,ems_cumulative_energy,COUNTER,COUNTER,NUMERIC,kWh,1,0.01,4246,HIGH_VARIABILITY,0.0,998763.88,111437.695,20690.87,197366.227,0.0,7.05,2718.46,20690.87,109062.11,649890.25,858794.94,189,0,,0 (189); 490877.09 (32); 437929.72 (32); 542812.94 (28); 680586.5 (18)
186,AC Contactor Switching Cycle,1,ac_contactor_switching_cycle,CONTACTOR,STATE,STRING,,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
187,AC Contactor Feedback Status,1,ac_contactor_feedback_status,CONTACTOR,STATE,STRING,,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
188,AC Over Voltage,1,ac_over_voltage,CHARGER,STATE,STRING,V,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
189,AC Fail Alarm,1,ac_fail_alarm,ALARM,ALARM_FLAG,STRING,,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
190,AC Under Voltage,1,ac_under_voltage,CHARGER,STATE,STRING,V,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
191,AC EnergyMeterCommFail,1,ac_energymetercommfail,COMMUNICATION,ALARM_FLAG,STRING,kWh,10000,100.0,0,ALL_NULL,,,,,,,,,,,,,0,0,,
192,Session Type,1,session_type,CONFIGURATION,CONFIGURATION,STRING,,1,0.01,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Completed (8137); Ongoing (1862)
193,Session Id,1,session_id,SESSION,IDENTIFIER,NUMERIC,,1,0.01,3950,HIGH_VARIABILITY,0.0,1789592822.0,1679992312.719,1789552082.0,415756027.57,0.0,0.0,1788655653.0,1789552082.0,1789573459.0,1789577709.0,1789578286.0,542,0,,0 (542); 1789573857 (33); 1789573869 (32); 1789577791 (28); 1789575984 (24)
194,Session Output Voltage,1,session_output_voltage,SESSION,SESSION_ATTRIBUTE,NUMERIC,V,1,0.01,452,VARIABLE,-0.16,727.5,64.707,0.0,182.158,0.0,0.0,0.0,0.0,0.0,644.5,688.5,8741,3,,0 (8741); 644.5 (28); 674.66 (18); 643.74 (18); 0.04 (18)
195,Session Output Current,1,session_output_current,SESSION,SESSION_ATTRIBUTE,NUMERIC,A,1,0.01,369,VARIABLE,0.0,333.6,20.81,0.0,51.438,0.0,0.0,0.0,0.0,0.0,140.01,238.97,8228,0,,0 (8228); 140 (122); 140.01 (78); 93 (69); 139.99 (44)
196,Session Demand Voltage,1,session_demand_voltage,SESSION,SESSION_ATTRIBUTE,NUMERIC,V,67,0.67,115,VARIABLE,0.0,744.5,112.718,0.0,244.709,0.0,0.0,0.0,0.0,0.0,710.0,744.0,8097,0,,0 (8097); 710 (437); 682 (222); 701 (136); 694.8 (113)
197,Session Demand Current,1,session_demand_current,SESSION,SESSION_ATTRIBUTE,NUMERIC,A,67,0.67,255,VARIABLE,0.0,333.7,23.052,0.0,57.299,0.0,0.0,0.0,0.0,0.0,168.0,240.0,8146,0,,0 (8146); 200 (150); 93 (146); 140 (132); 160 (100)
198,DC + Insulation Resistance,1,dc_insulation_resistance,ALARM,ALARM_FLAG,NUMERIC,kOhm,67,0.67,1080,HIGH_VARIABILITY,0.0,4487412.0,87886.677,0.0,146874.92,0.0,0.0,0.0,0.0,248803.0,254990.0,257776.0,5880,0,,0 (5880); 650 (513); 648 (124); 500 (37); 247809 (16)
199,DC - Insulation Resistance,1,dc_insulation_resistance,ALARM,ALARM_FLAG,NUMERIC,kOhm,67,0.67,1103,HIGH_VARIABILITY,0.0,33075498.0,96262.818,0.0,499768.394,0.0,0.0,0.0,0.0,244815.0,256676.0,264209.0,5872,0,,0 (5872); 650 (601); 500 (37); 648 (34); 253879 (12)
200,Last Insulation Test Status,1,last_insulation_test_status,ALARM,ALARM_FLAG,STRING,,67,0.67,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Pass (9844); Fail (89)
201,Session Start Energy,1,session_start_energy,SESSION,CONTINUOUS_TELEMETRY,NUMERIC,kWh,5,0.05,3799,HIGH_VARIABILITY,0.0,998715.44,109689.79,20311.86,195598.013,0.0,0.0,2219.92,20311.86,108184.57,631022.06,858733.69,619,0,"{""NA"": 251}",0 (619); NA (251); 490830.12 (32); 437883.19 (32); 0.13 (29)
202,Session Consumed Energy,1,session_consumed_energy,SESSION,CONTINUOUS_TELEMETRY,NUMERIC,kWh,5,0.05,2449,HIGH_VARIABILITY,0.0,236.61,30.936,17.99,36.36,0.0,0.0,3.87,17.99,45.9,111.27,155.64,1327,0,"{""NA"": 251}",0 (1327); NA (251); 54.75 (36); 0.01 (33); 46.97 (32)
203,Start Soc,1,start_soc,SESSION,CONTINUOUS_TELEMETRY,NUMERIC,%,71,0.71,101,VARIABLE,0.0,99.0,37.94,37.0,24.57,0.0,0.0,20.0,37.0,54.0,82.0,93.0,1055,0,"{""NA"": 251}",0 (1055); 50 (577); 20 (265); NA (251); 35 (219)
204,Stop Soc,1,stop_soc,SESSION,CONTINUOUS_TELEMETRY,NUMERIC,%,71,0.71,97,VARIABLE,0.0,100.0,69.517,82.0,32.491,0.0,0.0,50.0,82.0,98.0,100.0,100.0,988,0,"{""NA"": 251}",100 (1558); 0 (988); 99 (671); 98 (472); 50 (470)
205,Begin Time,1,begin_time,SESSION,TIMESTAMP,STRING,s,67,0.67,3752,HIGH_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 251}",01-01-1970 00:00:00 (256); NA (251); 01-01-1970 05:30:00 (180); 16-09-2026 21:20:57 (33); 16-09-2026 21:21:09 (32)
206,Charging Time,1,charging_time,CHARGER,TIMESTAMP,NUMERIC,s,5,0.05,2524,HIGH_VARIABILITY,-5997941.5,13960656.0,-460.333,26.6,341972.009,0.0,0.0,6.25,26.6,52.28,87.3,136.03,652,24,"{""NA"": 251}",0 (652); NA (251); 20.73 (38); 74.3 (32); 74.12 (32)
207,Charging Start Method,1,charging_start_method,CONFIGURATION,CONFIGURATION,STRING,,195,1.95,6,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 251}",Remote (3719); OTP (3139); Autocharge (1335); RFID (1163); NA (251)
208,Charging Mode,1,charging_mode,CONFIGURATION,CONFIGURATION,STRING,,1,0.01,5,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 251}",Auto (9731); NA (251); SOC (15); Time (1); Energy (1)
209,Last Charge Session Stop Reason,2,last_charge_session_stop_reason,SESSION,STATE,STRING,,1,0.01,81,VARIABLE,,,,,,,,,,,,,0,0,"{""NA"": 1}",Server Stop (402) (2343); EV Requested Stop (2) (1700); Other Error (501) (1268); Local Stop (401) (822); - (0) (692)
210,CCS Secc State,1,ccs_secc_state,CONNECTOR,STATE,STRING,,67,0.67,13,VARIABLE,,,,,,,,,,,,,0,0,,Charging (6070); EVSE Init. Stop Charging (1474); EV Init. Stop Charging (664); Idle Wait (657); TERMINATE (454)
211,CCS Secc Error Code,1,ccs_secc_error_code,CONNECTOR,STATE,STRING,,67,0.67,8,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,NO ERROR (9104); FAULT WrongCPLevel (574); FAULT HLCError (237); FAULT HPGPLinkDown (6); TIMEOUT Sequence (5)
212,CCS Ev Error Code,1,ccs_ev_error_code,CONNECTOR,STATE,STRING,,67,0.67,4,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,NO ERROR (9911); FAILED ChargingSystemIncompatibility (13); FAILED EVShiftPosition (6); FAILED EVRESSMalfunction (3)
213,EV Max Voltage Limit,1,ev_max_voltage_limit,CONFIGURATION,CONFIGURATION,NUMERIC,V,67,0.67,43,VARIABLE,0.0,1000.0,815.854,950.0,283.219,0.0,0.0,750.0,950.0,950.0,950.0,950.0,908,0,,950 (7251); 750 (1205); 0 (908); 500 (291); 900 (34)
214,EV Max Current Limit,1,ev_max_current_limit,CONFIGURATION,CONFIGURATION,NUMERIC,A,67,0.67,47,VARIABLE,0.0,500.0,206.908,200.0,98.112,0.0,0.0,150.0,200.0,250.0,400.0,400.0,766,0,,200 (2697); 250 (2553); 140 (956); 0 (766); 375 (546)
215,OCPP Tx Send Status,1,ocpp_tx_send_status,COMMUNICATION,STATE,STRING,,905,9.05,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,StopSent (6253); StartSent (2188); NotSent (654)
216,EV Mac ID Info,1,ev_mac_id_info,CHARGER,STATE,STRING,,6700,67.0,540,VARIABLE,,,,,,,,,,,,,0,0,,001234567890 (196); 000000000000 (144); 5CCCA0042AE7 (52); 001681000000 (39); 5CCCA0042AEB (36)
217,Calculated Insulation Resistance,1,calculated_insulation_resistance,ALARM,ALARM_FLAG,NUMERIC,kOhm,5901,59.01,80,VARIABLE,0.0,95000.0,36015.833,38700.0,28620.738,0.0,0.0,0.0,38700.0,69200.0,74100.0,95000.0,1364,0,,0 (1364); 46500 (409); 70100 (204); 70000 (184); 69400 (168)
218,Gun Output Voltage,1,gun_output_voltage,CONNECTOR,CONTINUOUS_TELEMETRY,NUMERIC,V,5901,59.01,132,VARIABLE,0.0,849.8,68.124,1.0,186.103,0.0,0.0,0.0,1.0,1.9,643.2,687.6,2025,0,,0 (2025); 1 (206); 1.3 (179); 1.4 (135); 1.1 (128)
219,SMR Set Voltage,1,smr_set_voltage,SMR,CONTINUOUS_TELEMETRY,NUMERIC,V,5901,59.01,54,VARIABLE,0.0,6538.6,178.094,100.0,387.33,0.0,0.0,0.0,100.0,100.0,702.8,744.5,1557,0,,100 (1634); 0 (1557); 465 (142); 694.8 (78); 681.6 (60)
220,SMR Set Current,1,smr_set_current,SMR,CONTINUOUS_TELEMETRY,NUMERIC,A,5901,59.01,308,VARIABLE,0.0,397.0,55.681,11.0,77.109,0.0,0.0,0.0,11.0,100.0,204.0,333.7,1857,0,,0 (1857); 250 (60); 23 (54); 115 (52); 120 (40)
221,SMR Available Current,1,smr_available_current,SMR,CONTINUOUS_TELEMETRY,NUMERIC,A,5901,59.01,90,VARIABLE,0.0,402.0,16.459,0.0,49.479,0.0,0.0,0.0,0.0,0.0,168.2,188.7,3593,0,,0 (3593); 103.9 (12); 176.3 (12); 23 (12); 187.8 (12)
222,SMR Max Power,1,smr_max_power,SMR,CONTINUOUS_TELEMETRY,NUMERIC,kW,8416,84.16,7,LOW_VARIABILITY,0.0,60000.0,11159.778,0.0,18704.661,0.0,0.0,0.0,0.0,24464.0,54464.0,60000.0,1122,0,,0 (1122); 30000 (158); 54464 (120); 40000 (92); 24464 (48)
223,GUN CCS Main State at Session stop,1,gun_ccs_main_state_at_session_stop,SESSION,SESSION_ATTRIBUTE,STRING,,6433,64.33,12,VARIABLE,,,,,,,,,,,,,0,0,,CHARGING_PROCESS (2027); CHECK_FOR_VEHICLE_CONNECTION (1384); CABLE_CHECK (31); HIGH_LEVEL_COMMUNICATION (28); PRE_CHARGE (28)
