position,source_name,source_occurrence,canonical_name,entity,field_class,data_type,unit,null_count,null_percentage,unique_count,variability_class,min,max,mean,median,std,P01,P05,P25,P50,P75,P95,P99,zero_count,negative_count,sentinel_hits,top_values
20,Reactive Energy,1,reactive_energy,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kWh,6003,60.03,278,VARIABLE,0.0,21079700.0,38045.611,719.84,689632.049,0.0,0.0,0.0,719.84,5581.22,24454.74,45150.54,1236,0,,0 (1236); 95.94 (20); 8.2 (20); 135.66 (20); 78.29 (13)
21,Apparent Energy,1,apparent_energy,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kWh,6003,60.03,270,VARIABLE,0.0,2000096256.0,181128804.496,3175.61,498996038.608,0.0,0.0,0.0,3175.61,39376.56,2000001792.0,2000060544.0,1338,0,,0 (1338); 474.56 (20); 940.82 (20); 73.33 (20); 100.36 (13)
22,Ground resistance value,1,ground_resistance_value,ALARM,ALARM_FLAG,NUMERIC,kOhm,1154,11.54,195,VARIABLE,0.0,260.689,1.836,0.0,8.159,0.0,0.0,0.0,0.0,0.0,12.19,27.87,7423,0,,0 (7423); 6.445 (36); 8.399 (36); 25.141 (36); 1.175 (36)
23,L1-N Voltage(Meter),1,l1_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,9944,99.44,4,LOW_VARIABILITY,0.0,239.0,57.536,0.0,100.597,0.0,0.0,0.0,0.0,0.0,239.0,239.0,42,0,,0 (42); 227 (8); 239 (4); 225 (2)
24,L2-N Voltage(Meter),1,l2_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,9944,99.44,5,LOW_VARIABILITY,0.0,240.0,74.679,0.0,109.55,0.0,0.0,0.0,0.0,227.0,240.0,240.0,38,0,,0 (38); 227 (8); 239 (4); 240 (4); 225 (2)
25,L3-N Voltage(Meter),1,l3_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,9944,99.44,4,LOW_VARIABILITY,0.0,240.0,57.607,0.0,100.728,0.0,0.0,0.0,0.0,0.0,240.0,240.0,42,0,,0 (42); 227 (8); 240 (4); 225 (2)
26,Grid Status,1,grid_status,CHARGER,STATE,STRING,,1996,19.96,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,"{""NA"": 7994}",NA (7994); Normal (10)
27,Apparent Power,1,apparent_power,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,9990,99.9,1,CONSTANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,,0 (10)
28,CCU Comm Fail,1,ccu_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9961); Fail (39)
29,LED Strip Card Comm Fail,1,led_strip_card_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9931); Fail (69)
30,DCSI Card Comm Fail,1,dcsi_card_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (9880); Fail (120)
31,AC Sense Card CommFail,1,ac_sense_card_commfail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9972); Fail (28)
32,LED Board Comm Fail,1,led_board_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9976); Fail (24)
33,RFID Reader Comm Fail,1,rfid_reader_comm_fail,COMMUNICATION,IDENTIFIER,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (9860); Fail (140)
34,Modem Comm Fail,1,modem_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (9342); Fail (658)
35,Modem Sim Present,1,modem_sim_present,COMMUNICATION,STATE,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (7428); Fail (2572)
36,Display Comm Fail,1,display_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9992); Fail (8)
37,CMS Comm Fail,1,cms_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (9765); Fail (235)
38,Fan Card Comm Fail,1,fan_card_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9944); Fail (56)
39,I/O Card Comm Fail,1,i_o_card_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9968); Fail (32)
40,Input ACEM Comm Fail,1,input_acem_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9940); Fail (60)
41,RTC Clock Drift Warning,1,rtc_clock_drift_warning,ALARM,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,OK (9713); Fail (287)
42,RMS Disabled Alarm,1,rms_disabled_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,RMS Enable (9986); RMS Disable (14)
43,LEDCard2 Comm Fail,1,ledcard2_comm_fail,COMMUNICATION,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,OK (9986); Fail (14)
44,Modem Signal Intensity,1,modem_signal_intensity,COMMUNICATION,CONTINUOUS_TELEMETRY,NUMERIC,,0,0.0,34,VARIABLE,-109.0,85.0,-63.203,-65.0,21.612,-97.0,-87.0,-75.0,-65.0,-57.0,-51.0,0.0,342,9569,,-51 (1225); -63 (923); -80 (840); -61 (663); -67 (653)
45,RSRP,1,rsrp,COMMUNICATION,CONTINUOUS_TELEMETRY,NUMERIC,,944,9.44,71,VARIABLE,-138.0,0.0,-69.069,-84.0,39.304,-119.0,-112.0,-95.0,-84.0,-65.0,0.0,0.0,2059,6997,,0 (2059); -90 (257); -89 (250); -88 (243); -87 (241)
46,RSRQ,1,rsrq,COMMUNICATION,CONTINUOUS_TELEMETRY,NUMERIC,,944,9.44,19,VARIABLE,-20.0,0.0,-9.137,-10.0,5.635,-19.0,-17.0,-13.0,-10.0,-7.0,0.0,0.0,2059,6997,,0 (2059); -13 (938); -10 (854); -11 (820); -12 (793)
47,Pilot-Upper TCP Interface,1,pilot_upper_tcp_interface,CHARGER,STATE,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 5088}",NA (5088); Abnormal (4902); Normal (10)
48,RMS Enable ModifiedBy,1,rms_enable_modifiedby,CHARGER,STATE,STRING,,0,0.0,5,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 3013}",Not Changed (6399); NA (3013); From UI by Production Login (344); From UI by Engineer Login (178); From CMS (66)
49,Fan Run Status,1,fan_run_status,CHARGER,STATE,STRING,,271,2.71,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (6786); On (2943)
50,FAN Set Speed,1,fan_set_speed,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,RPM,6119,61.19,16,VARIABLE,0.0,100.0,21.159,30.0,21.018,0.0,0.0,0.0,30.0,33.0,58.0,100.0,1617,0,,0 (1617); 30 (1282); 33 (534); 37 (108); 100 (72)
51,System Fan Speed,1,system_fan_speed,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,RPM,6119,61.19,13,VARIABLE,0.0,100.0,15.179,0.0,32.099,0.0,0.0,0.0,0.0,0.0,100.0,100.0,3005,0,,0 (3005); 100 (424); 30 (292); 50 (40); 40 (24)
52,Cabinet Temperature,1,cabinet_temperature,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,degC,0,0.0,62,VARIABLE,-50.0,999.0,37.13,32.0,67.736,0.0,21.0,28.0,32.0,37.0,48.0,62.0,49,67,"{""999"": 48}",35 (652); 34 (627); 28 (600); 30 (586); 32 (585)
53,Cooling Temp Sensor 1,1,cooling_temp_sensor_1,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,degC,281,2.81,45,VARIABLE,-150.0,999.0,16.575,0.0,38.862,0.0,0.0,0.0,0.0,30.0,44.0,54.0,5071,8,"{""999"": 12, ""-150"": 8}",0 (5071); 29 (342); 27 (337); 31 (308); 28 (292)
54,Cooling Temp Sensor 2,1,cooling_temp_sensor_2,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,degC,281,2.81,42,VARIABLE,-150.0,63.0,15.058,0.0,17.434,0.0,0.0,0.0,0.0,29.0,42.0,52.0,5071,8,"{""-150"": 8}",0 (5071); 29 (534); 26 (272); 30 (270); 25 (269)
55,Fan Card Status,1,fan_card_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7974); On (1745)
56,Rect Max Temperature,1,rect_max_temperature,RECTIFIER,CONTINUOUS_TELEMETRY,NUMERIC,degC,8108,81.08,32,VARIABLE,-146.0,66.0,39.736,39.0,9.429,27.0,31.0,36.0,39.0,41.0,59.0,66.0,0,2,,40 (198); 41 (182); 38 (175); 37 (174); 39 (152)
57,Fan 1 Status,1,fan_1_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7976); On (1743)
58,Fan 2 Status,1,fan_2_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7974); On (1745)
59,Fan 3 Status,1,fan_3_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7986); On (1733)
60,Fan 4 Status,1,fan_4_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7974); On (1745)
61,Fan 5 Status,1,fan_5_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7990); On (1729)
62,Fan 6 Status,1,fan_6_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7992); On (1727)
63,Fan 7 Status,1,fan_7_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7992); On (1727)
64,Fan 8 Status,1,fan_8_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7990); On (1729)
65,Fan 9 Status,1,fan_9_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8017); On (1702)
66,Fan 10 Status,1,fan_10_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8017); On (1702)
